Codigo,Descricao,NotaFiscal,DataVenda,WeekVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto
1,ANEL SINCRONIZADOR D140,15278,2019-03-07,2019w10,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,15279,2019-03-07,2019w10,6,1,1260,299,21320
1,ANEL SINCRONIZADOR D140,15289,2019-03-08,2019w10,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15324,2019-03-14,2019w11,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15325,2019-03-14,2019w11,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15344,2019-03-18,2019w12,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15358,2019-03-19,2019w12,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15359,2019-03-19,2019w12,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15360,2019-03-19,2019w12,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15363,2019-03-20,2019w12,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15376,2019-03-20,2019w12,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15417,2019-03-25,2019w13,2,1,1013,013,21320
1,ANEL SINCRONIZADOR D140,15436,2019-03-27,2019w13,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15446,2019-03-27,2019w13,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15466,2019-03-29,2019w13,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15492,2019-04-02,2019w14,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15499,2019-04-03,2019w14,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15512,2019-04-04,2019w14,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15522,2019-04-04,2019w14,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15545,2019-04-08,2019w15,4,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,15572,2019-04-10,2019w15,4,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,15584,2019-04-11,2019w15,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15604,2019-04-12,2019w15,4,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,15626,2019-04-16,2019w16,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15638,2019-04-17,2019w16,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,15647,2019-04-17,2019w16,2,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,15681,2019-04-23,2019w17,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15682,2019-04-23,2019w17,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,15688,2019-04-23,2019w17,2,1,1013,233,21320
